"","clo","tOut","tInOp","sex","subjId","time","day"
"1",0.71,17.2672,22.28525041,"female",11,0,1
"2",0.71,20.7,24.5723027,"female",11,1.18333333333333,1
"3",0.71,20.54773333,25.55076541,"female",11,1.5,1
"4",0.71,21.9,26.40068665,"female",11,1.4,1
"5",0.71,21.5208,26.66522133,"female",11,1.06666666666667,1
"6",0.71,20.99016667,27.18360916,"female",11,1.58333333333333,1
"7",0.81,14.0004,23.99907469,"female",11,0,2
"8",0.81,16.75316667,25.27592077,"female",11,1.08333333333333,2
"9",0.81,18.29815,26.21257117,"female",11,1.51666666666667,2
"10",0.81,18.40266667,26.37049263,"female",11,1.35,2
"11",0.81,19.32161667,26.94404679,"female",11,1.15,2
"12",0.81,19.5,27.20148625,"female",11,1.5,2
"13",0.68,16.69203333,24.16892466,"female",11,0,3
"14",0.68,18.10095,25.53036967,"female",11,1.16666666666667,3
"15",0.68,19.34203333,25.09543409,"female",11,1.55,3
"16",0.68,18.9416,25.25030653,"female",11,1.31666666666667,3
"17",0.68,20.99258333,26.57250232,"female",11,1.08333333333333,3
"18",0.68,21.6,26.77706483,"female",11,1.56666666666667,3
"19",0.65,14.70021667,23.11101578,"female",17,0,1
"20",0.65,15.70115,22.88766907,"female",17,1.18333333333333,1
"21",0.65,15.2581,23.03144324,"female",17,1.36666666666667,1
"22",0.65,16.65636667,23.1795283,"female",17,1.41666666666667,1
"23",0.65,18.5522,23.30329175,"female",17,1.18333333333333,1
"24",0.65,18.47575,23.46416386,"female",17,1.53333333333333,1
"25",0.65,14.0489,23.98094678,"female",17,0,2
"26",0.9,17.02675,24.2758573,"female",17,1.11666666666667,2
"27",0.9,18.3327,24.67495822,"female",17,1.5,2
"28",0.65,18.4,25.03312191,"female",17,1.33333333333333,2
"29",0.65,19.8241,25.36860018,"female",17,1.26666666666667,2
"30",0.65,19.43695,25.72683777,"female",17,1.35,2
"31",0.53,22.3349,24.72311688,"female",17,0,3
"32",0.53,24.80883333,25.15292101,"female",17,1.26666666666667,3
